GENE_NAME	human.mean
IKBIP	2.9025
PPP1R14D	0
FBN1	28.5025
CFAP20	17.945
AVPR1A	2.1125
LRTM2	0.03
TRMT61A	4.01
BTRC	7.34
POLL	10.3125
DPCD	19.4225
LARP6	52.01
API5	15.47
ASPG	14.83
ALKBH3	5.7575
COPS2	22.435
GABRB3	1.325
TBATA	0
SGPL1	4.1375
FRS2	3.615
CCT2	35.155
PCBD1	69.28
ARIH1	45.205
C16orf71	0.2125
CLMP	4.79
SCN3B	0.76
STPG1	2.0175
ASB4	1.3775
ZNF202	2.1575
FAM227B	6.065
CUL5	7.8075
CAMK2A	8.22
PLEKHF1	17.0675
TMEM100	7.9925
SMPD1	30.7975
APBB1	61.32
SYNPO2L	73.86
NUDT13	1.92
C11orf65	0.3075
TRIM44	15.72
CCDC182	0
ILK	127.6375
TPP1	38.63
DCHS1	4.4475
NETO1	0.295
USP54	12.8075
RAG1	0.1975
C11orf74	15.38
WDR88	0.165
ATP9B	11.8575
PPFIBP2	8
CYB5R2	1.935
SERPINB7	0
KIAA0355	11.735
SERPINB8	1.995
TUB	7.195
RIC3	4.185
OSBPL3	1.425
WDR72	0.26
CRABP1	0.2275
PLD4	0.2475
TRIM66	0.935
RNF169	2.4125
EPHA8	0.0125
CDYL2	0.7575
TMEM130	0.315
PRTG	0.16
CENPN	3.3275
AKIP1	16.65
C16orf46	0.62
TMEM41B	4.87
LEO1	3.5925
SLC12A3	0.0025
ZNF143	9.8
TMX3	7.98
WEE1	14.865
PRKCB	0.8725
HDGFL3	17.4575
MCM7	16.7875
CLEC3A	0.18
RAD18	0.4825
CCDC68	2.785
CLEC4E	1.5375
ZNF3	5.12
ZSCAN21	2.86
TK2	8.825
TMED3	12.97
ATP2B1	3.24
SLC38A8	0.525
CPLX4	0.0375
GALR1	0.125
TMEM135	3.42
IQCD	0.6
NDEL1	15.1325
CENPV	6.4075
CDH16	0.085
RRAD	301.6025
CFAP52	0.0825
HSP90B1	129.6175
MC4R	0.01
BLCAP	42.4675
SERPINB12	0
ATF7IP2	11.3675
TVP23A	0.6025
NCK2	25.4475
TMPRSS5	0.495
COG1	23.1875
PLEKHA7	10.3575
B2M	1190.225
ZNF592	7.9375
CASC4	12.5475
HTR3A	0.0225
NNMT	98.0075
AP1G1	11.39
MAP4K4	39.4325
SAAL1	4.325
YPEL4	1.0475
PPIB	114.31
MGAT4A	3.5825
KIF7	3.0775
LDHD	55.92
PLIN1	17.7825
ANPEP	4.325
SCNN1G	0.06
RBPMS2	117.4825
NAV2	5.25
ANKDD1A	1.855
DCTN5	10.455
TERF2IP	30.205
PLK1	0.7975
GPR182	0.175
ZBTB39	1.0325
WDR1	130.225
CACNG2	0.02
TAC3	0.0575
MYO1A	0.035
OR4D6	0
NAB2	8.9925
VPS39	18.2675
STAT6	48.1275
PATL1	8.7775
SNX13	8.4875
ATP23	3.51
ELFN2	0.035
STX3	5.55
PIP4K2C	6.6225
MTMR10	9.3475
SCG5	0.14
GREM1	0.3825
TSC22D4	26.4375
MS4A14	1.0425
MS4A5	0.04
DIS3L	12.455
EPB42	0.5425
TGM6	0
SMAD3	16.1025
MS4A15	0
MAP1A	12.18
AKTIP	32.4025
EVA1C	15.025
RPS6KA2	30.675
CNPY4	6.7675
TERB2	0.22
NKX3-1	1.4025
SGSM1	2.8175
TEF	8.0125
ING3	4.58
B4GALNT2	0
PBX3	26.2775
GNGT2	0.8925
PHB	126.285
SNRPD1	12.6375
TTC16	0.2325
SUN5	0.0125
SAMD14	1.05
PIP5KL1	0.3325
VASH1	5.9525
BPIFB6	0
FAM102A	9.1825
ACSF2	14.745
COQ4	19.9075
SLC27A4	11.4025
URM1	36.5925
CERCAM	11.1075
DOLPP1	2.6975
LMCD1	18.375
PRRX2	1.175
C15orf39	5.7
SP2	9.25
PRR15L	0.085
GPRC5B	27.695
CRK	20.5775
FBXO22	12.85
TBC1D2B	7.3275
NOD2	0.59
SNX20	0.4175
LOXHD1	0.54
KATNAL2	1.7325
SEL1L	14.15
RNF214	6.705
DUS2	2.75
ENGASE	16.7975
RBFOX3	0.3025
TBC1D16	8.2775
TEPSIN	11.245
MYO5B	0.51
ACAA2	115.515
STIM1	23.3625
RRM1	9.2525
OR51E2	0.09
MMP26	0
OR51I1	0
ZNF668	3.36
ZNF646	3.0925
GNG8	0.39
TCF3	17.9725
SMG8	2.465
TPM4	146.7425
RAB8A	10.6175
GPX4	310.5175
MIDN	40.365
FAM129C	0.555
KLHL26	5.73
TRIB2	23.11
ANKRD11	37.7825
ZNF641	5.0275
LALBA	0
CACNB3	3.7325
DAZAP1	68.6575
DHRS13	1.2725
KMT2D	13.4525
CORO6	45.985
MBD3	50.61
CYP2S1	0.465
AXL	15.9475
NFKBID	1.86
TMC4	3.045
TTYH1	2.3
LENG8	82.2775
CRLF1	76.4125
TMEM145	0.82
ZNF526	2.3825
TRAPPC9	15.3425
PPP1R14A	41.82
SPINT2	6.7975
HLTF	4.17
ATCAY	0.285
LY6D	0.0475
DAPK3	57.5925
EEF2	1084.82
CHAF1A	4.3775
HDGFL2	27.94
PLIN4	111.0725
SEMA6B	16.62
FAM57A	3.9675
GLOD4	18.3575
MFSD3	13.765
GPT	40.2425
KIFC2	8.5
SLC43A2	4.965
RILP	35.2925
FAM3A	49.4025
SERPINF2	1.7525
WDR81	8.145
CYB5D2	9.17
KLK5	0.025
CPSF1	40.5125
KLK11	0.7925
ACER1	0.17
OTUB1	41.945
MYO3B	0.035
CABP2	0
NDUFV1	441.195
CDK2AP2	61.9375
CYBRD1	42.2075
TBX10	0.005
HID1	10.89
MRPL58	19.9425
CDH19	9.0075
TMEM88	26.1875
SRP68	28.605
MGAT5B	0.1275
TMC8	1.8425
TMEM68	2.5925
SLC6A15	0.0025
GHDC	6.7975
SOST	0.2
ZNF598	13.57
RAB26	0.76
MLST8	23.365
E4F1	14.695
DNASE1L2	0.625
CASKIN1	1.4175
RDH11	10.77
KCTD5	5.9525
SRRM2	187.0425
NLRC3	0.7425
DDB1	51.0925
OSBPL7	3.6225
BEST1	1.91
BSCL2	5.3275
POLR2G	26.1975
SLC3A2	29.615
C11orf84	9.9525
ATG16L2	11.3975
C2CD3	8.395
TRANK1	2.2225
TTC21A	1.6225
ADGRL1	9.4625
ENTPD3	0.3475
CTNNB1	60.8275
ULK4	1.58
FADD	5.6075
LTBP3	91.405
NAALADL1	5.7475
SF1	109.5425
SPP2	1.86
CCDC88B	5.2725
SCARA3	4.7575
SCARA5	34.58
PNOC	0
PAFAH1B2	16.8625
ANKS3	8.795
ACTN1	81.2875
NUDT16L1	34.9475
RAB4A	38.2375
KCNJ4	11.295
SETD5	19.6375
FAM83B	0.15
ZFYVE26	3.4325
DDIT4	87.2675
LMBRD1	17.4775
ZCCHC4	1.8
TTC39C	2.3375
GNG4	0.2025
RPS6KA6	0.25
UBTD2	4.585
NKIRAS2	30.3625
KCNV2	0.02
IRF2BP2	57.7
PTF1A	0
NT5DC2	53.33
FOXI1	0
SMIM4	50.53
EPN2	20.8725
KIF5C	0.405
MGAT2	4.81
THAP11	18.915
PXK	7.3525
KCTD6	3.35
ACOX2	15.1175
IRF2	12.085
MOBP	0.12
CX3CR1	0.2675
PPDPFL	0
XIRP1	220.0025
LIMS2	160.595
ARF4	44.095
FILIP1L	15.65
MFSD2A	0.6275
TAP1	10.135
ING5	5.24
ATG4B	25.5325
BDKRB2	0.6825
ASIC4	0.07
RFWD3	2.74
MTNR1A	0
KCNG4	0.01
RHOH	0.645
COG7	8.2675
CDC40	4.105
SCNN1B	0.3975
TMEM98	12.0525
SPEG	35.9375
HR	1.6725
RAB31	11.0125
REEP4	5.6025
TNXB	12.8775
LGI3	0.7225
SFTPC	0.085
BMP1	12.2625
LNX1	4.2125
POLR3D	9.015
FEN1	3.555
CAVIN2	33.2475
MTCL1	1.5225
GBX2	0.0225
HFE2	23.335
ALDH3A2	17.7925
MYL1	0.2275
TRAPPC11	5.2275
CHRM1	0.06
COL3A1	36.64
ING2	3.9425
CDKN2AIP	5.6975
SNRNP48	4.1575
SLC20A2	41.6575
DYNLRB2	0.2575
TMUB2	16.7775
STAT3	87.93
ZSWIM1	5.225
ADAM18	0.07
GDNF	0.125
SREBF1	21.255
AXIN2	5.105
VWA3B	0.1525
FAM84B	3.24
LDLRAD4	12.7275
KCTD19	0.6925
SLC16A4	1.645
IL7R	1.105
TMEM208	11.9475
AHCYL1	30.615
PKIG	119.02
NPNT	2.195
CA7	0.005
FAM178B	0.8675
SEMA4C	18
CNNM3	8.4175
TET2	1.5325
CXXC4	0.885
AFF4	8.08
TCTN2	2.2625
SHOX2	0.4425
PPIP5K1	5.4925
TSPAN5	1.13
ABHD15	2.6475
ZBTB5	2.22
SNTB2	3.575
IL12A	0.485
ZNF507	2.975
NSG1	4.3475
ZBTB49	1.515
GFM1	16.88
ATOH8	26.175
SOX14	0
MPP5	3.355
SFTPB	0.205
USP39	23.62
TNIP2	28.585
TMEM150A	11.18
RHOBTB1	6.2875
ZNF608	2.4825
SLC35G2	2.37
INPP5D	5.275
LETM1	20.21
TMEM129	24.675
PPIC	21.4625
SPRY3	0.36
CEP120	3.1
STXBP6	21.3325
TM4SF20	0.0425
CPLX1	4.4525
PXDC1	18.7275
E2F6	8.2425
FEM1B	11.8775
COMMD8	5.93
MFSD7	7.4875
MAP2K1	23.83
KLK7	0.0475
IRS1	5.31
MECP2	12.25
AR	4.44
MARK2	11.8175
DHRSX	15.7925
C8orf46	1.1575
HSPBAP1	2.4525
PARM1	23.9375
FAM110B	10.675
AFAP1L2	3.3
HMMR	0.2425
GOT1L1	0.0125
ZBTB43	5.4125
CPT1C	3.1175
XPO6	20.1125
GSG1L	0.64
APEX2	4.175
CHFR	8.215
NSMCE1	28.35
CCDC126	2.74
RAB3B	0.0425
CD2BP2	20.415
RSPO1	1
RGS14	2.8925
TBC1D10B	18.1925
TRHDE	0.5075
RAB24	21.7475
THBS3	8.82
CA5B	1.0075
SLC50A1	7.8475
EFNA1	21.3675
CXCL10	1.4775
SH3TC2	1.245
P4HA2	25.995
NMD3	14.695
ADRB2	3.0125
B3GALNT1	18.29
GPRIN1	0.2475
KCNAB1	2.66
SHE	7.5925
NFATC3	6.14
NR0B1	0.0125
STK32A	0.3025
IL1RAPL1	0.3975
P2RY12	0.295
PDILT	0.0275
UMOD	0.1225
GP2	0.0725
SLC33A1	6.1175
SNUPN	7.8275
CRADD	16.555
SIN3A	8.7675
ARL13B	1.825
PTK2	27.5625
PTAFR	1.445
ACADVL	854.545
PTPN9	6.3625
KCNK9	0.0275
CXCL8	1.575
SCN9A	0.2175
RASSF6	0.1825
COL22A1	0.04
SDC2	31.0325
MAP3K14	6.3
STK10	10.34
OR4K14	0
TM2D2	14.155
HTRA4	0.6375
PLEKHA2	13.085
GPR183	1.8625
FBXW11	20.985
METTL15	2.8175
ZEB2	18.44
GJB1	0.03
CLIC3	3.55
BNC1	0.15
DFFB	1.8125
ACAP1	16.3475
ANTXR1	12.48
GKN1	0
APLF	0.48
LUZP1	5.255
HEXDC	13.5325
CRMP1	3.125
DRD5	0.0525
SPNS1	13.7725
LRRC45	3.25
CHRNA5	0.9275
AGPAT2	43.3325
GP9	0.105
FASN	57.6125
EVC	2.57
CNBP	257.74
GPS1	57.9225
LDB2	21.215
NRG4	0.5575
DERL2	14.2175
TMEM266	0.48
NLGN1	2.0825
TAPT1	9.98
TAS2R1	0
LINGO1	1.365
BTD	5.545
CSGALNACT2	4.1875
TACR3	0
GSX1	0
SIDT1	0.6175
PCDH7	14.015
ONECUT1	0.0125
AVEN	16.1425
P2RY1	1.17
CTNND2	4.3275
MUC17	0.0375
AHSP	0.8525
NDE1	6.725
TPST1	2.6625
TM4SF4	0.0375
S100G	0
MRVI1	5.1525
OTUD7A	1.45
KLF13	18.585
FRMPD4	0.3225
ZFPM2	6.08
TAS1R3	0.8525
TMEM42	6.5225
MAP3K2	4.3675
TMEM38A	13.195
SF3B5	65.375
TIGD4	0.075
NLGN2	8.72
CHD3	16.7675
AP1M1	26.67
ALCAM	1.6625
UBE2E3	23.01
CNTROB	8.07
TRAPPC1	95.32
