GENE_NAME	human.mean
CLEC3B	114.9075
FYCO1	9.635
VPS35	29.9975
ELP6	24.6675
FBXO40	0.03
DTX3L	6.6075
ZNF148	6.47
NMNAT3	7.18
SMIM12	42.56
ITGAL	1.68
TPRA1	20.4575
YEATS2	4.475
GRIK3	0.045
ZC3H12A	3.4675
DNALI1	30.3125
POLR2H	77.4425
KLF15	28.1175
CFAP100	0.27
BCL3	42.485
CAMK2N2	0.2
LIPH	2.665
TMEM41A	11.2925
HEYL	4.3325
IFT122	20.5475
RHO	0.015
RFC4	6.2975
KCNAB2	63.6
BAP1	42.22
PRKCD	30.645
SFMBT1	3.485
GNL3	16.8425
PBRM1	6.61
UVSSA	4.1825
FAM208A	12.445
ARHGEF3	22.8375
SLBP	24.9725
ZDHHC19	0.25
SLC51A	8.515
PIGX	8.49
MELTF	9.89
S100P	5.425
GAL	0.375
ABLIM2	8.88
EXO5	3.42
CLDN19	16.525
ERMAP	5.21
SGMS2	7.2225
METAP1	18.5575
EMCN	36.165
SLC9B1	0.97
SLC9B2	2.34
BDH2	140.2025
CDC25A	0.6175
PLXNB1	101.575
CCDC51	14.025
SPRY1	13.59
BSN	0.37
APEH	145.12
INTU	2.055
RNF123	31.2975
HSPA4L	6.5275
ABHD18	4.365
MAOB	90.025
CAMKV	0.075
MON1A	10.145
MST1R	0.8225
TEX264	103.0625
DUSP7	6.4425
POC1A	1.805
PPM1M	13.5025
ETNPPL	0.77
RORA	6.385
PITX2	0.815
PRSS12	0.6725
NDST3	0.19
SAP30	4.6925
SCRG1	0.385
HAND2	0.155
ANXA5	171.22
ADAD1	0.0325
GUCY1A3	6.8725
FBXO8	14.1075
CEP44	3.8475
HPGD	23.415
ASB5	0.3325
C4orf45	0
TMEM144	2.53
PDK2	118.4275
TGFBR3	17.3825
FAM198B	5.7175
NPY1R	8.0125
NPY5R	0.8175
NAA15	5.17
IL15	3.22
FAM160A1	1.5825
ICE1	5.4875
HHIP	0.6375
ANAPC10	8.1975
ABCE1	11.1675
PRMT9	4.6225
ITGA2	4.26
SLC45A2	0.31
EDIL3	6.8475
ELOVL7	10.045
NDUFAF2	17.9025
LMBRD2	3.385
RANBP3L	5.9975
NIPBL	10.385
SLC25A46	14.265
PGGT1B	7.3
HES2	1.5625
F2RL2	0.2125
CCDC112	1.4125
C5orf63	2.1175
F2RL1	13.4475
WDR41	16.445
NEDD4	31.3475
SCGB3A2	8.855
HTR4	0
ESM1	13.3025
ARSK	3.335
RHOBTB3	18.47
PIGB	5.6025
SERINC5	3.47
ENPP6	11.9125
PRIMPOL	6.6025
ERAP1	14.2975
CMYA5	6.465
EGFLAM	4.3475
CFAP97	7.75
TMEM174	50.4175
